program,tipe,kode,dimensi,penjelasan,atribut,pernyataan,opsi_atau_skala
YES,Skala 0-4,Y-R5.4,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program TalentHub Class,Penyampaian materi TalentHub Class mudah dipahami,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R5.5,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program TalentHub Class,TalentHub Class memberikan pengalaman praktik (hands-on) yang bermanfaat,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R5.6,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program TalentHub Class,TalentHub Class meningkatkan kepercayaan diri dalam menunjukkan bakat,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R6.1,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Pelaksanaan Kegiatan Intensif,Jadwal kegiatan teratur,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R6.2,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Pelaksanaan Kegiatan Intensif,Metode pembelajaran menarik,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-D1.1,Responsiveness,Daya Tanggap (Responsiveness): Kesediaan staf atau karyawan untuk membantu pelanggan dan memberikan layanan dengan cepat,Peran Mentor,Mentor mudah dihubungi saat dibutuhkan,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-D1.2,Responsiveness,Daya Tanggap (Responsiveness): Kesediaan staf atau karyawan untuk membantu pelanggan dan memberikan layanan dengan cepat,Peran Mentor,Mentor menjelaskan materi dengan jelas dan mudah dipahami,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-D1.3,Responsiveness,Daya Tanggap (Responsiveness): Kesediaan staf atau karyawan untuk membantu pelanggan dan memberikan layanan dengan cepat,Peran Mentor,Mentor memahami kondisi pribadi saya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-D1.4,Responsiveness,Daya Tanggap (Responsiveness): Kesediaan staf atau karyawan untuk membantu pelanggan dan memberikan layanan dengan cepat,Peran Mentor,Mentor membantu saya mengambil keputusan penting,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-D1.5,Responsiveness,Daya Tanggap (Responsiveness): Kesediaan staf atau karyawan untuk membantu pelanggan dan memberikan layanan dengan cepat,Peran Mentor,Saya merasa nyaman dan aman untuk bercerita kepada mentor,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-D1.6,Responsiveness,Daya Tanggap (Responsiveness): Kesediaan staf atau karyawan untuk membantu pelanggan dan memberikan layanan dengan cepat,Peran Mentor,Mentor aktif memantau perkembangan saya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A1.1,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kesiapan Masuk PTN,Saya memiliki peluang lebih besar untuk masuk PTN,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A1.2,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kesiapan Masuk PTN,Saya lebih percaya diri mengikuti seleksi PTN,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A1.3,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kesiapan Masuk PTN,Saya memiliki strategi belajar yang lebih jelas,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A2.1,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kesiapan Akademik,Kemampuan akademik saya meningkat,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A2.2,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kesiapan Akademik,Saya lebih disiplin dalam belajar,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A2.3,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kesiapan Akademik,Saya memahami kelemahan dan cara memperbaikinya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A3.1,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kesiapan Personal,Saya lebih percaya diri terhadap masa depan,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A3.2,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kesiapan Personal,Saya memiliki tujuan hidup yang lebih jelas,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A3.3,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kesiapan Personal,Saya lebih siap hidup mandiri,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A4.1,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Karakter & Spriritualitas,Saya lebih konsisten dalam ibadah,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A4.2,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Karakter & Spriritualitas,Saya mengalami perubahan akhlak ke arah yang lebih baik ,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A4.3,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Karakter & Spriritualitas,Saya lebih mampu mengontrol diri,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A5.1,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kepuasan,Perubahan yang saya rasakan terjadi karena program YES,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A5.2,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kepuasan,Program YES berperan penting dalam perkembangan saya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A5.3,Assurance,"Jaminan (Assurance): Pengetahuan, kesopanan, dan kemampuan petugas dalam menumbuhkan rasa percaya dan aman bagi pelanggan",Perubahan Diri Kepuasan,"Secara keseluruhan, saya puas dengan program YES ","{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-E1.1,Empathy,Empati (Empathy): Sikap peduli dan memberikan perhatian secara personal kepada setiap pelanggan,Bimbingan Individu,Saya membutuhkan bimbingan individu,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-E1.2,Empathy,Empati (Empathy): Sikap peduli dan memberikan perhatian secara personal kepada setiap pelanggan,Bimbingan Individu,Bimbingan individu membantu menyelesaikan masalah saya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-E1.3,Empathy,Empati (Empathy): Sikap peduli dan memberikan perhatian secara personal kepada setiap pelanggan,Bimbingan Individu,Kerahasiaan saya terjaga dengan baik,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-E2.1,Empathy,Empati (Empathy): Sikap peduli dan memberikan perhatian secara personal kepada setiap pelanggan,Home Visit,Membantu membangun kedekatan dengan mentor,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-E2.2,Empathy,Empati (Empathy): Sikap peduli dan memberikan perhatian secara personal kepada setiap pelanggan,Home Visit,Membantu komunikasi dengan orang tua,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-E2.3,Empathy,Empati (Empathy): Sikap peduli dan memberikan perhatian secara personal kepada setiap pelanggan,Home Visit,Membantu menyelesaikan masalah saya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-E3.1,Empathy,Empati (Empathy): Sikap peduli dan memberikan perhatian secara personal kepada setiap pelanggan,Jurnal Ekselensia,Membantu saya mengontrol ibadah dan aktivitas,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-E3.2,Empathy,Empati (Empathy): Sikap peduli dan memberikan perhatian secara personal kepada setiap pelanggan,Jurnal Ekselensia,Mudah digunakan,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Esai,Y-S1.1,,,,Apa perubahan terbesar dalam diri kamu sejak mengikuti YES?,
YES,Esai,Y-S1.2,,,,Ceritakan satu pengalaman paling berkesan selama program!,
YES,Multiselect,Y-S1.3,,,,Kegiatan apa yang paling kamu sukai (boleh isi lebih dari satu)?,"{""opsi"": [""Ekselensia Camp"", ""Campus Preparation"", ""Quranic Mentorship"",""TalentHub Class""]}"
YES,Esai,Y-S1.4,,,,Jelaskan mengapa kamu menyukai kegiatan tersebut!,
YES,Multiselect,Y-S1.5,,,,Program apa yang paling sulit kamu ikuti?,"{""opsi"": [""Ekselensia Camp"", ""Campus Preparation"", ""Quranic Mentorship"",""TalentHub Class""]}"
YES,Esai,Y-S1.6,,,,Jelaskan mengapa kamu merasa sulit pada program tersebut!,
YES,Esai,Y-S1.7,,,,"Jika program YES tidak ada, menurutmu apa yang akan terjadi pada dirimu sekarang?",
YES,Esai,Y-S1.8,,,,Apa yang harus diperbaiki dari program ini?,
YES,Esai,Y-S1.9,,,,Pesan untuk mentor,
YES,Esai,Y-S1.10,,,,Pesan untuk pengelola program,
